Hit	ClusterNumber	LargoSecuencia	Porc+AF8-identity+AF8-Target	CompresedAlignment	LabelQuery	LabelTarget
H	31351	207	92.8	207M	denovo10	denovo38213
H	8917	208	99.0	161MD46M	denovo100	denovo18022
H	4448	207	98.1	207M	denovo1	denovo1400
H	10278	207	94.7	207M17I	denovo1000	denovo19248
H	37247	207	94.2	207M	denovo10000	denovo8464
H	19635	208	94.2	182MD25M	denovo10002	denovo2767
H	27395	207	96.6	207M	denovo0	denovo34653
H	6438	208	96.2	185MD22M	denovo10001	denovo15792
H	3194	256	94.9	157M2D57MI40M35I	denovo1001	denovo12872
H	7629	206	98.1	9MI197M17I	denovo10003	denovo16864
H	9727	207	92.3	207MI	denovo10007	denovo18752
H	32001	207	97.1	207M	denovo10005	denovo388
H	34736	207	98.6	207M19I	denovo10004	denovo6203
H	22106	208	96.6	208M	denovo10006	denovo29894
H	24079	206	93.2	97MI109M	denovo10009	denovo31669
H	9604	207	87.4	207M	denovo10008	denovo18641
H	2832	211	95.2	164M2D43M2D	denovo10016	denovo12546
H	1597	233	96.6	207M26D	denovo10010	denovo11434
H	14476	208	90.4	208M	denovo10011	denovo23025
H	26183	207	91.8	207M	denovo10014	denovo33562
H	31515	208	97.6	34MD173M	denovo10012	denovo38361
H	11583	207	93.2	207M	denovo10013	denovo20421
H	16173	208	93.8	208M	denovo10018	denovo24553
H	19932	207	94.7	207M	denovo10015	denovo27937
H	23682	207	96.1	207M	denovo10017	denovo31310
H	10451	207	93.2	207M	denovo1002	denovo19403
H	2318	210	97.1	182MD27M	denovo10019	denovo12083
H	3171	207	96.6	207M	denovo10020	denovo12851
H	11296	207	96.6	207M	denovo10021	denovo20163
H	10814	207	96.6	207M	denovo10022	denovo19730
H	19187	207	91.3	207M	denovo10024	denovo27266
H	9743	207	96.6	207M	denovo10023	denovo18767
H	14554	207	94.2	207M	denovo10026	denovo23096
H	10347	208	96.6	208M	denovo10028	denovo1931
H	867	207	96.6	207M17I	denovo10027	denovo10778
H	17708	226	96.6	207M19D	denovo10029	denovo25935
H	1049	207	98.1	207M	denovo1003	denovo10941
H	1654	205	94.6	205M	denovo10034	denovo11486
H	25034	229	98.6	43MD64MD80MD20M19D	denovo10031	denovo32528
H	22367	207	99.5	207M	denovo10030	denovo30127
H	5091	207	96.1	207M	denovo10033	denovo1458
H	30999	207	95.7	14MI193M	denovo10038	denovo37898
H	13199	207	96.1	207M19I	denovo10035	denovo21877
H	2426	207	93.7	207M	denovo10032	denovo12180
H	26843	207	93.2	207M	denovo10039	denovo34156
H	15778	207	93.2	207M	denovo10036	denovo24198
H	29223	207	96.6	207M	denovo10037	denovo36299
H	5048	208	94.7	208M	denovo10040	denovo14540
H	37959	207	96.6	207M	denovo10041	denovo9104
H	14346	224	94.7	207M17D	denovo10044	denovo22909
H	586	198	95.5	13I5MD5M3D184M	denovo10042	denovo10524
H	20122	207	93.7	207M	denovo10047	denovo28107
H	6214	207	98.6	207M	denovo10043	denovo15590
H	3526	208	96.2	208M19I	denovo10052	denovo13170
H	28922	207	96.1	207M	denovo10046	denovo36027
H	23916	207	96.2	152MI55M	denovo10045	denovo31521
H	11585	207	96.6	207M	denovo10048	denovo20423
H	21852	208	94.2	208M	denovo10053	denovo29665
H	11771	207	93.7	207M	denovo1005	denovo20591
H	9009	208	95.2	33MD174M	denovo10049	denovo18105
H	20704	227	95.1	177MD6M2D18M23D	denovo10054	denovo28631
H	610	209	97.1	47MD87MD73M	denovo10050	denovo10546
H	1768	226	96.2	180MD27M18D	denovo10051	denovo11589
H	20392	206	92.8	9MI197M	denovo10055	denovo28350
H	5781	207	84.5	207M	denovo10064	denovo1520
H	15281	207	96.1	207M	denovo10058	denovo23750
H	3016	207	95.7	207M	denovo10056	denovo12711
H	33457	207	93.7	207M	denovo10059	denovo5052
H	34494	207	91.3	207M	denovo10057	denovo5987
H	31226	207	96.6	207M	denovo10060	denovo38100
H	28279	207	96.1	207M	denovo1006	denovo35449
H	34522	207	96.1	207M	denovo10065	denovo6010
H	11539	207	90.3	207M	denovo10067	denovo20382
H	38359	204	75.0	28MD9M3D26M2D135M	denovo10071	denovo9465
H	8092	210	94.8	210M	denovo10073	denovo17280
H	5239	207	96.1	207M	denovo10063	denovo14712
H	2269	207	88.4	207M	denovo10066	denovo12039
H	26033	207	96.6	207M	denovo10068	denovo33427
H	2953	206	89.4	188MI18M	denovo10070	denovo12655
H	16113	207	96.6	207M	denovo10069	denovo245
H	24379	207	95.7	I207M	denovo10072	denovo31939
H	30107	206	93.2	206M	denovo1007	denovo37094
H	13496	207	95.3	102MI13M2I9MD49MI33M	denovo10074	denovo22143
H	21033	207	95.2	207M	denovo10075	denovo28928
H	25484	207	95.2	207M	denovo10077	denovo32933
H	20415	207	96.1	207M	denovo10076	denovo28371
H	5839	207	96.1	207M	denovo10078	denovo15252
H	29653	209	83.3	80MD128M	denovo10079	denovo36686
H	15329	207	95.7	207M	denovo10080	denovo23794
H	34337	208	97.6	208M18I	denovo10081	denovo5845
H	20842	214	95.2	33MI17MI9MI68MD77M9D	denovo1008	denovo28756
H	6380	207	96.1	207M	denovo10086	denovo1574
H	23673	207	95.2	207M	denovo10084	denovo31302
H	19905	207	96.1	163MD43M40I	denovo10082	denovo27912
H	5245	207	90.3	207M	denovo10083	denovo14718
H	32762	227	96.2	199MD8M19D	denovo10085	denovo4427
H	35676	207	96.6	207M	denovo10087	denovo705
H	8463	207	94.2	207M	denovo10089	denovo17614
H	24732	210	96.2	52M2D143MI13M	denovo10088	denovo32256
H	36346	226	98.7	226M	denovo10090	denovo7653
H	29474	206	96.1	206MI	denovo1009	denovo36524
H	23234	207	96.1	156M2D32M2D15M16I	denovo10092	denovo30908
H	26238	215	93.0	D10M7D17MI17MD162M	denovo10091	denovo33611
H	8345	207	91.8	207M19I	denovo10095	denovo17508
H	30727	208	88.9	208M	denovo10099	denovo37652
H	7818	207	91.8	207M	denovo10093	denovo17033
H	9575	207	94.2	207M	denovo10094	denovo18615
H	18033	207	95.2	207M	denovo10096	denovo26227
H	26014	207	90.3	207M	denovo10098	denovo3341
H	22500	288	81.7	93M2I89M2D16M88D	denovo10103	denovo30247
H	17123	206	92.2	206M17I	denovo10097	denovo25408
H	16480	185	79.0	63M3D74MI34MD10M	denovo10106	denovo2483
H	33754	207	96.6	11MD195M	denovo1010	denovo532
H	3746	225	98.1	170MI36M19D	denovo101	denovo13369
H	35922	207	97.1	207M	denovo10100	denovo7271
H	6746	207	96.6	207M	denovo10101	denovo16069
H	35052	207	96.6	207M	denovo10102	denovo6489
H	2977	207	95.7	207M	denovo10110	denovo12677
H	25388	207	96.6	207M	denovo10104	denovo32847
H	3153	207	95.7	207M	denovo10108	denovo12835
H	22146	207	95.2	168MI39M	denovo1011	denovo2993
H	36813	207	96.2	157MI25MD24M	denovo10107	denovo8073
H	27759	206	94.7	95MI111M13I	denovo10105	denovo34981
H	30736	207	96.6	207M	denovo10109	denovo37660
H	36429	208	96.6	208M	denovo10111	denovo7728
H	23441	207	97.1	207M	denovo10114	denovo31094
H	21585	207	84.1	207M	denovo10115	denovo29424
H	1792	226	95.2	207M19D	denovo10113	denovo1161
H	22793	208	92.8	208M	denovo1012	denovo30510
H	10516	209	95.2	209M	denovo10124	denovo19462
H	6144	207	92.8	207M	denovo10119	denovo15527
H	20116	207	96.6	207M	denovo10116	denovo28101
H	15089	208	97.6	157MD44MI6M	denovo10118	denovo23578
H	2281	222	96.6	22MI14MI9MI144MI14M19D	denovo10122	denovo1205
H	14608	208	89.4	208M	denovo10120	denovo23144
H	35389	207	97.1	185MI10MD10MD	denovo10121	denovo6792
H	17011	207	86.5	207M	denovo10123	denovo25307
H	10337	207	96.6	207M	denovo1013	denovo19300
H	8686	207	96.6	29MI177MD	denovo10126	denovo17815
H	14522	207	96.6	207M	denovo10125	denovo23067
H	29642	209	96.2	209MI	denovo10129	denovo36676
H	36618	207	96.6	207M	denovo10128	denovo7899
H	5481	208	79.3	32MD54MD120M	denovo10132	denovo14930
H	1161	225	97.4	181MI36MI8M	denovo10134	denovo11041
H	4652	207	97.6	203MI4M	denovo10131	denovo14184
H	19812	207	92.8	207M	denovo10130	denovo27829
H	4413	207	89.4	207M	denovo10133	denovo1397
H	28455	205	91.3	144MI61M	denovo10136	denovo35607
H	7558	207	95.7	207M	denovo10135	denovo1680
H	33235	207	96.6	207M	denovo10137	denovo4853
